MN,HD,HR,HIP,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,pmRA,pmDec,RadVel,Parallax,Vmag,B-V,SpType,IsMultiple,IsVariable,UpdateName
1,48915,2491,32349,Sirius,9 CMa/9Alp CMa/AGC 1/HD 48915/HL 3/HR 2491/LEC 1/α CMa/β 1411,Sirius,α CMa,9 CMa,CMa,101.287155,-16.716116,-553.0,-1205.0,-8.0,375.0,-1.45,0.0,  A1Vm              ,1.0,0.0,2016-06-30
2,45348,2326,30438,Canopus,Alp Car/CRU 9006/HD 45348/HR 2326/MAM 2/α Car,Canopus,α Car,,Car,95.987958,-52.695661,22.0,21.0,21.0,28.0,-0.62,0.15,  F0II              ,0.0,0.0,2016-06-30
3,124897,5340,69673,Arcturus,16 Boo/16Alp Boo/HD 124897/HR 5340/α Boo,Arcturus,α Boo,16 Boo,Boo,213.9153,19.182409,-1093.0,-1998.0,-5.0,90.0,-0.05,1.23,  K1.5IIIFe-0.5     ,0.0,1.0,2016-06-30
4,128620,5459,71683,Rigil Kentaurus,Alp1Cen/HD 128620/HR 5459/LDS 494/RHD 1/α Cen/α1 Cen,Rigil Kentaurus,α1 Cen,,Cen,219.902066,-60.833975,-3642.0,699.0,-22.0,751.0,-0.01,0.71,  G2V               ,1.0,0.0,2016-11-06
5,172167,7001,91262,Vega,3 Lyr/3Alp Lyr/H 5 39/HD 172167/HR 7001/MBA 2/MET 11/SMR 33/Σ II 9/α Lyr,Vega,α Lyr,3 Lyr,Lyr,279.234735,38.783689,202.0,286.0,-14.0,123.0,0.03,0.0,  A0Va              ,1.0,1.0,2016-06-30
6,34029,1708,24608,Capella,13 Aur/13Alp Aur/ANJ 1/BAR 25/FRH 1/HD 34029/HJ 2256/HR 1708/SHJ 51/SHY 23/SMR 26/α Aur/β 1392,Capella,α Aur,13 Aur,Aur,79.172328,45.997991,76.0,-425.0,30.0,73.0,0.08,0.8,  G5IIIe+G0III      ,1.0,1.0,2016-06-30
7,34085,1713,24436,Rigel,19 Ori/19Bet Ori/HD 34085/HR 1713/Σ 668/β 555/β Ori,Rigel,β Ori,19 Ori,Ori,78.634467,-8.201638,0.0,-1.0,21.0,13.0,0.18,-0.03,  B8Ia:             ,1.0,1.0,2016-06-30
8,61421,2943,37279,Procyon,10 CMi/10Alp CMi/D 29/DIC 1/HD 61421/HR 2943/LAM 6/SHB 1/SLE 439/SMR 11/α CMi,Procyon,α CMi,10 CMi,CMi,114.825493,5.224993,-710.0,-1023.0,-3.0,288.0,0.4,0.42,  F5IV-V            ,1.0,1.0,2016-06-30
9,10144,472,7588,Achernar,Alp Eri/HD 10144/HR 472/α Eri,Achernar,α Eri,,Eri,24.428523,-57.236753,95.0,-35.0,16.0,26.0,0.45,-0.16,  B3Vpe             ,0.0,1.0,2016-06-30
10,39801,2061,27989,Betelgeuse,58 Ori/58Alp Ori/H 6 39/HD 39801/HR 2061/KAR 1/SLE 831/SMR 29/α Ori,Betelgeuse,α Ori,58 Ori,Ori,88.792939,7.407064,26.0,9.0,21.0,5.0,0.45,1.85,  M1-2Ia-Iab        ,1.0,1.0,2016-06-30
11,122451,5267,68702,Hadar,Bet Cen/HD 122451/HR 5267/RBT 1/VOU 31/β Cen,Hadar,β Cen,,Cen,210.955856,-60.373035,-32.0,-19.0,6.0,9.0,0.61,-0.23,  B1III             ,1.0,1.0,2016-08-21
12,187642,7557,97649,Altair,53 Aql/53Alp Aql/DAL 27/GMC 5/HD 187642/HR 7557/SMR 5/Σ II 10/α Aql,Altair,α Aql,53 Aql,Aql,297.695827,8.868321,538.0,386.0,-26.0,198.0,0.76,0.22,  A7V               ,1.0,0.0,2016-06-30
13,29139,1457,21421,Aldebaran,87 Tau/87Alp Tau/HD 29139/HR 1457/Σ II 2/α Tau/β 1031/β 550,Aldebaran,α Tau,87 Tau,Tau,68.980163,16.509302,63.0,-190.0,54.0,48.0,0.87,1.54,  K5+III            ,1.0,1.0,2016-06-30
14,116658,5056,65474,Spica,67 Vir/67Alp Vir/HD 116658/HR 5056/OCC 418/α Vir/β pm 150,Spica,α Vir,67 Vir,Vir,201.298247,-11.161319,-41.0,-28.0,1.0,23.0,0.98,-0.23,  B1III-IV+B2V      ,1.0,1.0,2016-06-30
15,148478,6134,80763,Antares,21 Sco/21Alp Sco/GNT 1/HD 148478/HR 6134/α Sco,Antares,α Sco,21 Sco,Sco,247.351915,-26.432003,-10.0,-20.0,-3.0,24.0,1.06,1.83,  M1.5Iab-Ib+B4Ve   ,1.0,1.0,2016-06-30
16,62509,2990,37826,Pollux,78 Gem/78Bet Gem/H 6 42/HD 62509/HR 2990/Σ II 5/β 580/β Gem,Pollux,β Gem,78 Gem,Gem,116.328958,28.026199,-628.0,-46.0,3.0,94.0,1.16,1.0,  K0IIIb            ,1.0,1.0,2015-12-15
17,216956,8728,113368,Fomalhaut,24 PsA/24Alp PsA/79 Aqr/HD 216956/HR 8728/KAL 1/MAM 1/SHY 106/α PsA,Fomalhaut,α PsA,24 PsA,PsA,344.412693,-29.622237,333.0,-165.0,7.0,149.0,1.17,0.09,  A3V               ,0.0,1.0,2015-12-15
18,111123,4853,62434,Mimosa,ANT 8/Bet Cru/HD 111123/HR 4853/I 362/Δ 125/β Cru,Mimosa,β Cru,,Cru,191.930263,-59.688764,-48.0,-14.0,16.0,,1.25,-0.23,  B0.5III           ,1.0,1.0,2016-07-20
19,197345,7924,102098,Deneb,50 Cyg/50Alp Cyg/H N 73/HD 197345/HR 7924/α Cyg,Deneb,α Cyg,50 Cyg,Cyg,310.35798,45.280339,3.0,2.0,-5.0,-6.0,1.25,0.09,  A2Ia              ,1.0,1.0,2016-06-30
20,108248,4730,60718,Acrux,ANT 1/ANT 7/Alp1Cru/HD 108248/HR 4730/Δ 252/α Cru/α1 Cru/α2 Cru,Acrux,α1 Cru,,Cru,186.649563,-63.099093,-36.0,-12.0,-11.0,8.0,1.33,-0.24,  B0.5IV            ,1.0,0.0,2016-07-20
21,128621,5460,71681,Toliman,Alp2Cen/HD 128621/HR 5460/α Cen/α2 Cen,Toliman,α2 Cen,,Cen,219.896096,-60.837528,-3646.0,700.0,-21.0,751.0,1.35,0.88,  K1V               ,1.0,0.0,2018-08-10
22,87901,3982,49669,Regulus,32 Leo/32Alp Leo/HD 87901/HDO 127/HR 3982/Σ II 6/α Leo,Regulus,α Leo,32 Leo,Leo,152.092962,11.967209,-248.0,6.0,6.0,45.0,1.36,-0.11,  B7V               ,1.0,1.0,2016-06-30
23,52089,2618,33579,Adhara,21 CMa/21Eps CMa/CPO 7/HD 52089/HR 2618/ε CMa,Adhara,ε CMa,21 CMa,CMa,104.656453,-28.972086,4.0,3.0,27.0,1.0,1.5,-0.21,  B2II              ,1.0,0.0,2016-08-21
